iter	Passed	Remaining
618	57728	35532
619	57822	35439
620	57929	35354
621	58043	35274
622	58149	35188
623	58270	35111
624	58382	35029
625	58497	34949
626	58611	34867
627	58716	34781
628	58836	34703
629	58945	34618
630	59055	34535
631	59164	34450
632	59292	34376
633	59394	34287
634	59515	34209
635	59641	34134
636	59768	34059
637	59882	33977
638	59991	33891
639	60098	33805
640	60224	33729
641	60365	33661
642	60468	33572
643	60586	33491
644	60693	33405
645	60830	33334
646	60934	33245
647	61045	33160
648	61171	33083
649	61275	32994
650	61404	32918
651	61509	32830
652	61621	32745
653	61733	32659
654	61861	32583
655	61976	32499
656	62083	32411
657	62192	32325
658	62302	32238
659	62405	32148
660	62512	32059
661	62618	31971
662	62743	31892
663	62857	31807
664	62985	31729
665	63100	31645
666	63232	31569
667	63353	31487
668	63503	31419
669	63633	31342
670	63762	31263
671	63889	31183
672	64031	31111
673	64160	31033
674	64285	30952
675	64416	30874
676	64539	30792
677	64663	30710
678	64787	30628
679	64911	30546
680	65034	30464
681	65175	30389
682	65278	30297
683	65393	30210
684	65505	30122
685	65628	30039
686	65744	29953
687	65858	29865
688	65969	29777
689	66071	29684
690	66199	29603
691	66337	29525
692	66456	29440
693	66572	29353
694	66700	29271
695	66833	29191
696	66939	29100
697	67059	29014
698	67171	28924
699	67306	28845
700	67417	28755
701	67526	28665
702	67633	28573
703	67742	28482
704	67846	28389
705	67967	28303
706	68101	28223
707	68209	28131
708	68319	28041
709	68457	27961
710	68630	27896
711	68741	27805
712	68852	27714
713	68964	27624
714	69079	27535
715	69190	27444
716	69302	27353
717	69432	27270
718	69541	27178
719	69640	27082
720	69731	26983
721	69813	26881
722	69897	26779
723	69994	26682
724	70070	26578
725	70162	26480
726	70254	26381
727	70339	26280
728	70426	26180
729	70513	26080
730	70598	25979
731	70686	25879
732	70768	25778
733	70850	25676
734	70935	25575
735	71017	25473
736	71093	25369
737	71181	25270
738	71268	25170
739	71353	25070
740	71435	24968
741	71520	24868
742	71609	24769
743	71693	24668
744	71780	24569
745	71857	24466
746	71941	24365
747	72035	24268
748	72121	24168
749	72205	24068
750	72292	23969
751	72378	23869
752	72461	23768
753	72546	23669
754	72625	23567
755	72749	23480
756	72869	23391
757	72984	23301
758	73076	23203
759	73157	23102
760	73239	23001
761	73323	22901
762	73400	22799
763	73480	22698
764	73560	22597
765	73644	22497
766	73725	22396
767	73798	22293
768	73884	22194
769	73965	22093
770	74067	21999
771	74165	21903
772	74267	21809
773	74363	21713
774	74462	21618
775	74566	21524
776	74666	21429
777	74753	21330
778	74843	21232
779	74924	21132
780	75007	21032
781	75092	20933
782	75179	20835
783	75261	20735
784	75341	20634
785	75432	20537
786	75521	20439
787	75605	20340
788	75689	20241
789	75784	20145
790	75865	20045
791	75948	19946
792	76041	19849
793	76133	19752
794	76214	19652
795	76304	19555
796	76389	19456
797	76471	19357
798	76556	19258
799	76642	19160
800	76727	19062
801	76814	18964
802	76901	18866
803	76984	18767
804	77075	18670
805	77166	18573
806	77258	18476
807	77340	18378
808	77424	18279
809	77513	18182
810	77607	18086
811	77692	17987
812	77782	17890
813	77872	17793
814	77960	17696
815	78046	17598
816	78134	17501
817	78208	17400
818	78294	17303
819	78377	17204
820	78466	17107
821	78560	17011
822	78650	16915
823	78739	16818
824	78828	16721
825	78906	16621
826	78995	16525
827	79084	16428
828	79175	16331
829	79259	16233
830	79348	16137
831	79438	16040
832	79524	15943
833	79613	15846
834	79704	15749
835	79795	15653
836	79910	15562
837	80018	15468
838	80105	15371
839	80193	15275
840	80269	15175
841	80362	15079
842	80448	14982
843	80552	14888
844	80668	14797
845	80777	14704
846	80879	14609
847	80989	14517
848	81090	14422
849	81193	14328
850	81307	14236
851	81421	14143
852	81532	14050
853	81650	13958
854	81742	13862
855	81825	13765
856	81911	13667
857	82004	13571
858	82142	13483
859	82253	13390
860	82362	13296
861	82463	13201
862	82563	13106
863	82679	13014
864	82789	12920
865	82895	12826
866	83014	12734
867	83118	12640
868	83225	12546
869	83339	12452
870	83449	12359
871	83548	12263
872	83653	12169
873	83756	12074
874	83882	11983
875	84005	11891
876	84141	11800
877	84252	11707
878	84370	11614
879	84477	11519
880	84591	11426
881	84696	11331
882	84805	11236
883	84888	11139
884	84995	11044
885	85093	10948
886	85192	10853
887	85329	10762
888	85444	10668
889	85565	10575
890	85684	10482
891	85802	10388
892	85928	10296
893	86054	10203
894	86186	10111
895	86325	10019
896	86460	9928
897	86575	9833
898	86700	9740
899	86811	9645
900	86921	9550
901	87023	9454
902	87145	9361
903	87260	9266
904	87359	9170
905	87457	9073
906	87589	8981
907	87701	8886
908	87810	8790
909	87928	8696
910	88043	8601
911	88277	8518
912	88754	8457
913	89204	8393
914	90123	8372
915	90486	8297
916	90948	8231
917	91128	8140
918	91272	8044
919	91388	7946
920	91528	7850
921	92158	7796
922	92619	7726
923	92779	7631
924	92912	7533
925	93065	7437
926	93507	7363
927	93734	7272
928	94596	7229
929	94732	7130
930	94872	7031
931	95210	6946
932	95345	6846
933	95492	6747
934	95955	6670
935	96123	6572
936	96271	6472
937	96424	6373
938	96552	6272
939	96684	6171
