iter	Passed	Remaining
660	50119	25704
661	50195	25628
662	50270	25552
663	50342	25474
664	50411	25395
665	50482	25317
666	50551	25237
667	50620	25158
668	50693	25081
669	50765	25004
670	50836	24925
671	50910	24848
672	50980	24770
673	51049	24691
674	51121	24613
675	51193	24536
676	51261	24457
677	51333	24379
678	51404	24301
679	51471	24221
680	51541	24143
681	51611	24065
682	51681	23986
683	51750	23908
684	51819	23829
685	51894	23753
686	51966	23676
687	52040	23599
688	52114	23523
689	52180	23443
690	52250	23365
691	52327	23290
692	52399	23213
693	52466	23133
694	52539	23056
695	52609	22978
696	52679	22900
697	52753	22824
698	52826	22747
699	52890	22667
700	52961	22589
701	53033	22512
702	53102	22434
703	53169	22355
704	53236	22276
705	53309	22199
706	53379	22122
707	53447	22043
708	53518	21965
709	53590	21889
710	53661	21811
711	53729	21733
712	53802	21656
713	53872	21579
714	53940	21500
715	54008	21422
716	54080	21345
717	54155	21270
718	54228	21193
719	54298	21116
720	54372	21039
721	54443	20963
722	54520	20888
723	54598	20813
724	54678	20740
725	54760	20667
726	54842	20594
727	54923	20520
728	55006	20448
729	55082	20373
730	55160	20298
731	55239	20224
732	55322	20151
733	55405	20078
734	55488	20005
735	55560	19929
736	55634	19853
737	55707	19776
738	55781	19701
739	55857	19625
740	55935	19551
741	56005	19473
742	56078	19397
743	56149	19320
744	56222	19243
745	56294	19167
746	56367	19091
747	56440	19014
748	56513	18938
749	56586	18862
750	56659	18785
751	56734	18710
752	56808	18634
753	56876	18556
754	56948	18480
755	57021	18403
756	57095	18327
757	57167	18251
758	57238	18174
759	57309	18097
760	57377	18020
761	57449	17943
762	57522	17867
763	57591	17790
764	57662	17713
765	57735	17637
766	57801	17559
767	57873	17482
768	57937	17403
769	58008	17327
770	58081	17251
771	58153	17174
772	58218	17096
773	58290	17020
774	58364	16944
775	58431	16866
776	58501	16790
777	58572	16713
778	58646	16637
779	58718	16561
780	58792	16485
781	58864	16409
782	58939	16334
783	59010	16257
784	59085	16182
785	59159	16107
786	59230	16030
787	59301	15954
788	59373	15878
789	59446	15802
790	59516	15725
791	59591	15650
792	59663	15574
793	59733	15497
794	59805	15421
795	59876	15345
796	59945	15268
797	60021	15193
798	60095	15117
799	60167	15041
800	60242	14966
801	60313	14890
802	60386	14814
803	60463	14739
804	60536	14664
805	60612	14589
806	60683	14512
807	60763	14438
808	60839	14363
809	60913	14288
810	60987	14212
811	61064	14138
812	61139	14062
813	61213	13987
814	61288	13912
815	61360	13836
816	61433	13760
817	61508	13685
818	61582	13609
819	61658	13534
820	61732	13459
821	61804	13383
822	61875	13307
823	61945	13231
824	62016	13155
825	62089	13079
826	62156	13002
827	62224	12925
828	62295	12849
829	62371	12774
830	62443	12699
831	62521	12624
832	62593	12548
833	62663	12472
834	62736	12396
835	62812	12322
836	62883	12246
837	62950	12169
838	63023	12093
839	63096	12018
840	63168	11942
841	63237	11866
842	63305	11789
843	63378	11714
844	63454	11639
845	63529	11564
846	63606	11489
847	63682	11414
848	63757	11339
849	63832	11264
850	63909	11189
851	63985	11114
852	64059	11039
853	64130	10963
854	64202	10888
855	64278	10813
856	64351	10737
857	64428	10662
858	64502	10587
859	64574	10512
860	64644	10436
861	64718	10360
862	64790	10285
863	64859	10209
864	64928	10133
865	65001	10058
866	65069	9981
867	65141	9906
868	65215	9831
869	65287	9755
870	65355	9679
871	65421	9603
872	65491	9527
873	65563	9452
874	65635	9376
875	65710	9301
876	65781	9225
877	65850	9150
878	65918	9074
879	65993	8999
880	66067	8923
881	66139	8848
882	66212	8773
883	66284	8697
884	66359	8622
885	66432	8547
886	66504	8472
887	66575	8396
888	66647	8321
889	66716	8245
890	66788	8170
891	66860	8095
892	66931	8019
893	67003	7944
894	67076	7869
895	67149	7794
896	67223	7719
897	67306	7645
898	67387	7570
899	67462	7495
900	67538	7420
901	67614	7346
902	67691	7271
903	67766	7196
904	67833	7120
905	67910	7045
906	67986	6971
907	68063	6896
908	68138	6821
909	68215	6746
910	68288	6671
911	68359	6596
912	68432	6520
913	68507	6445
914	68584	6371
915	68660	6296
916	68732	6221
917	68807	6146
918	68882	6071
919	68955	5996
920	69029	5921
921	69104	5846
922	69175	5770
923	69249	5695
924	69322	5620
925	69394	5545
926	69470	5470
927	69544	5395
928	69616	5320
929	69686	5245
930	69758	5170
931	69830	5094
932	69901	5019
933	69971	4944
934	70041	4869
935	70115	4794
936	70187	4719
937	70256	4643
938	70325	4568
939	70394	4493
940	70471	4418
941	70543	4343
942	70620	4268
943	70693	4193
944	70768	4118
945	70845	4044
946	70920	3969
947	70995	3894
948	71064	3819
949	71139	3744
950	71211	3669
951	71284	3594
952	71357	3519
953	71430	3444
954	71503	3369
955	71571	3294
956	71637	3218
957	71710	3143
958	71782	3068
959	71850	2993
960	71923	2918
961	71995	2843
962	72069	2769
963	72145	2694
964	72223	2619
965	72297	2544
966	72367	2469
967	72442	2394
968	72510	2319
969	72596	2245
970	72670	2170
971	72741	2095
972	72820	2020
973	72891	1945
974	72965	1870
975	73041	1796
976	73114	1721
977	73192	1646
978	73264	1571
979	73340	1496
980	73416	1421
981	73488	1347
982	73564	1272
983	73641	1197
984	73710	1122
985	73777	1047
986	73849	972
987	73921	897
988	73992	822
989	74063	748
990	74136	673
991	74208	598
992	74280	523
993	74348	448
994	74420	373
995	74495	299
996	74567	224
997	74640	149
998	74715	74
999	74789	0
